model_display	model	median_time	mean_time	min_time	max_time	count	overall_mean_score	overall_exact_match	overall_broad_match	overall_no_match	total_predictions	tissue_count	company_group	is_important
Claude 3.5 Sonnet (06/20)	claude.3.5.sonnet.20240620	3.67475914955139	3.795386127666035	0.921482086181641	9.81579518318176	1130	0.7557522123893805	0.7044247787610619	0.10265486725663717	0.1929203539823009	1130	36	Claude	TRUE
o4.mini	o4.mini	94.34017896652225	93.7167929879332	12.4906601905823	353.88757109642	1130	0.7553097345132743	0.7079646017699115	0.09469026548672567	0.19734513274336282	1130	36	OpenAI	FALSE
GPT-4.1	gpt.4.1	2.80929708480835	2.776341430374707	0.555522918701172	7.65916800498962	1114	0.7451327433628319	0.6991150442477876	0.0920353982300885	0.2088495575221239	1130	36	OpenAI	FALSE
o3.mini	o3.mini	29.5748870372772	33.327518522211946	2.90879797935486	136.932882785797	1130	0.7415929203539823	0.6920353982300885	0.09911504424778761	0.2088495575221239	1130	36	OpenAI	FALSE
Gemini-2.5-flash-p 04.17 nothink	gemini.2.5.flash.preview.04.17.nothink	1.54833006858826	1.715990059354664	0.665093898773193	8.50274419784546	1130	0.738495575221239	0.6849557522123894	0.10707964601769912	0.2079646017699115	1130	36	Google	FALSE
Gemini-2.5-flash-p 04.17	gemini.2.5.flash.preview.04.17	14.0082538127899	16.191477646869885	2.77259516716003	133.533643007278	1130	0.7247787610619469	0.6663716814159292	0.1168141592920354	0.2168141592920354	1130	36	Google	FALSE
GPT-4o (11/20)	gpt.4o.2024.11.20	2.97680187225342	3.978797166115415	0.810809135437012	28.6436450481415	1130	0.7230088495575221	0.6734513274336283	0.09911504424778761	0.22743362831858407	1130	36	OpenAI	TRUE
grok.3.mini.beta	grok.3.mini.beta	19.8779120445251	20.093638952221486	7.95272397994995	36.457249879837	1130	0.7230088495575221	0.6743362831858407	0.09734513274336283	0.22831858407079647	1130	36	Other	FALSE
grok.3.mini.fast.beta	grok.3.mini.fast.beta	12.2104940414429	12.147118847349054	4.00213003158569	24.3124830722809	1130	0.7216814159292035	0.6707964601769911	0.10176991150442478	0.22743362831858407	1130	36	Other	FALSE
grok.3.beta	grok.3.beta	3.98156309127808	7.331799133689004	0.861298084259033	50.2752280235291	1130	0.7115044247787611	0.6539823008849558	0.11504424778761062	0.23097345132743363	1130	36	Other	FALSE
GPT-4o	gpt.4o	3.66968297958374	3.65259723811023	1.12592101097107	6.33696603775024	1130	0.7070796460176991	0.6619469026548672	0.09026548672566372	0.24778761061946902	1130	36	OpenAI	TRUE
GPT-4	gpt.4	4.93764960765839	5.541270828880038	0.561186075210571	18.9471127986908	1130	0.697787610619469	0.6300884955752213	0.13539823008849558	0.2345132743362832	1130	36	OpenAI	FALSE
Gemini 2.0 Flash Thinking	gemini.2.0.flash.thinking.exp.01.21	10.1848900318146	10.978879174932965	1.08596301078796	27.8911800384521	1130	0.6960176991150443	0.631858407079646	0.12831858407079647	0.2398230088495575	1130	36	Google	FALSE
GPT-4.1 Mini	gpt.4.1.mini	2.25007605552673	2.663368661152689	0.885350942611694	9.73031401634216	1064	0.6946902654867256	0.643362831858407	0.10265486725663717	0.25398230088495577	1130	36	OpenAI	FALSE
GPT-4 0613	gpt.4.0613	4.49564003944397	4.9574320493703175	0.907527923583984	13.9884359836578	1129	0.6920353982300885	0.620353982300885	0.1433628318584071	0.23628318584070795	1130	36	OpenAI	FALSE
Llama 4 Maverick 17B 128E FP8	chutesai.Llama.4.Maverick.17B.128E.Instruct.FP8	2.73053288459778	2.8650105896919937	0.832566022872925	9.9425630569458	991	0.6831858407079646	0.6309734513274337	0.10442477876106195	0.2646017699115044	1130	36	Llama	FALSE
Qwen Max 0125	qwen.max.0125	7.57575607299805	8.106219851094286	1.34729909896851	15.4784920215607	1129	0.6792035398230089	0.6176991150442478	0.12300884955752213	0.2592920353982301	1130	36	Other	FALSE
gemini.2.5.pro.exp.03.25	gemini.2.5.pro.exp.03.25	31.4804859161377	54.89260781586942	1.26177883148193	218.52886390686	999	0.6712389380530973	0.6265486725663717	0.08938053097345133	0.28407079646017697	1130	36	Google	FALSE
Doubao 1.5 Pro 32K	Doubao.1.5.pro.32k	5.91107106208801	5.883991876745646	1.56058406829834	12.4180839061737	1130	0.6606194690265487	0.6079646017699115	0.10530973451327434	0.2867256637168142	1130	36	Other	FALSE
GPT-4 1106 Preview	gpt.4.1106.preview	4.81954002380371	5.076747971371439	0.793945074081421	24.5001490116119	1098	0.6526548672566371	0.6	0.10530973451327434	0.29469026548672567	1130	36	OpenAI	FALSE
